 ,Mobility,Vth,Coeff. Det.,I on/off
N-type,1.3295543400181853e-07,-657.6302395963128,1.0,1.000000E+03
N-type,3.8194642486428807e-07,508.2107178837503,1.0,1.000000E+02
N-type,3.775043948159321e-05,53.4244030722533,1.0,1.000000E+03
N-type,1.9966808454154765e-05,40.22697424972384,1.0,1.000000E+02
N-type,1.1601296001557654e-05,147.7442818408357,1.0,1.000000E+02
P-type,0.0041820665171602624,-50.57551936739667,0.9906854838920093,1.000000E+04
P-type,0.0034800104577744906,-45.93689784991622,0.9970679212088439,1.000000E+05
P-type,0.003727084215741024,-41.57185362871769,0.9911524282175376,1.000000E+04
P-type,0.0035169666141964305,-40.125439834368024,0.9971223823065675,1.000000E+04
P-type,0.002403098923635898,-37.03396428299191,0.9946124828851167,1.000000E+04
